film,year_film,category,year_ceremony,year_film,winner,boxoffice
Get Out,2017,BEST PICTURE,2018,2017,False,255000000
Lady Bird,2017,BEST PICTURE,2018,2017,False,79000000
Phantom Thread,2017,BEST PICTURE,2018,2017,False,47000000
The Post,2017,BEST PICTURE,2018,2017,False,179000000
The Shape of Water,2017,BEST PICTURE,2018,2017,True,195000000
"Three Billboards outside Ebbing, Missouri",2017,BEST PICTURE,2018,2017,False,160000000
Black Panther,2018,BEST PICTURE,2019,2018,False,1340000000
BlacKkKlansman,2018,BEST PICTURE,2019,2018,False,93000000
Bohemian Rhapsody,2018,BEST PICTURE,2019,2018,False,910000000
The Favourite,2018,BEST PICTURE,2019,2018,False,95000000
Green Book,2018,BEST PICTURE,2019,2018,True,321000000
Roma,2018,BEST PICTURE,2019,2018,False,5000000
A Star Is Born,2018,BEST PICTURE,2019,2018,False,436000000
Vice,2018,BEST PICTURE,2019,2018,False,76000000
Ford v Ferrari,2019,BEST PICTURE,2020,2019,False,225000000
The Irishman,2019,BEST PICTURE,2020,2019,False,8000000
Jojo Rabbit,2019,BEST PICTURE,2020,2019,False,90000000
Joker,2019,BEST PICTURE,2020,2019,False,1070000000
Little Women,2019,BEST PICTURE,2020,2019,False,218000000
Marriage Story,2019,BEST PICTURE,2020,2019,False,2000000
1917,2019,BEST PICTURE,2020,2019,False,384000000
Once upon a Time...in Hollywood,2019,BEST PICTURE,2020,2019,False,374000000
Parasite,2019,BEST PICTURE,2020,2019,True,258000000
The Father,2020,BEST PICTURE,2021,2020,False,30000000
Judas and the Black Messiah,2020,BEST PICTURE,2021,2020,False,7000000
Mank,2020,BEST PICTURE,2021,2020,False,100000
Minari,2020,BEST PICTURE,2021,2020,False,15000000
Nomadland,2020,BEST PICTURE,2021,2020,True,39000000
Promising Young Woman,2020,BEST PICTURE,2021,2020,False,18000000
Sound of Metal,2020,BEST PICTURE,2021,2020,False,7000000
The Trial of the Chicago 7,2020,BEST PICTURE,2021,2020,False,1000000
Belfast,2021,BEST PICTURE,2022,2021,False,49000000
CODA,2021,BEST PICTURE,2022,2021,True,2000000
Don't Look Up,2021,BEST PICTURE,2022,2021,False,1000000
Drive My Car,2021,BEST PICTURE,2022,2021,False,15000000
Dune,2021,BEST PICTURE,2022,2021,False,402000000
King Richard,2021,BEST PICTURE,2022,2021,False,39000000
Licorice Pizza,2021,BEST PICTURE,2022,2021,False,33000000
Nightmare Alley,2021,BEST PICTURE,2022,2021,False,39000000
The Power of the Dog,2021,BEST PICTURE,2022,2021,False,400000
West Side Story,2021,BEST PICTURE,2022,2021,False,76000000
All Quiet on the Western Front,2022,BEST PICTURE,2023,2022,False,20000000
Avatar: The Way of Water,2022,BEST PICTURE,2023,2022,False,2320000000
The Banshees of Inisherin,2022,BEST PICTURE,2023,2022,False,49000000
Elvis,2022,BEST PICTURE,2023,2022,False,288000000
Everything Everywhere All at Once,2022,BEST PICTURE,2023,2022,True,140000000
The Fabelmans,2022,BEST PICTURE,2023,2022,False,45000000
Tár,2022,BEST PICTURE,2023,2022,False,29000000
Top Gun: Maverick,2022,BEST PICTURE,2023,2022,False,1490000000
Triangle of Sadness,2022,BEST PICTURE,2023,2022,False,23000000
Women Talking,2022,BEST PICTURE,2023,2022,False,10000000
American Fiction,2023,BEST PICTURE,2024,2023,False,20000000
Anatomy of a Fall,2023,BEST PICTURE,2024,2023,False,15000000
Barbie,2023,BEST PICTURE,2024,2023,False,1440000000
The Holdovers,2023,BEST PICTURE,2024,2023,False,20000000
Killers of the Flower Moon,2023,BEST PICTURE,2024,2023,False,156000000
Maestro,2023,BEST PICTURE,2024,2023,False,1000000
Oppenheimer,2023,BEST PICTURE,2024,2023,True,950000000
Past Lives,2023,BEST PICTURE,2024,2023,False,35000000
Poor Things,2023,BEST PICTURE,2024,2023,False,100000000
The Zone of Interest,2023,BEST PICTURE,2024,2023,False,10000000
